Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
R,"[0.5176873803138733, 0.7809654474258423, -6.178723310767964e-07]","[0.4344682991504669, 0.7299530506134033, -0.007900219410657883]","[0.3842129409313202, 0.6625152230262756, -0.03074612468481064]","[0.3537517189979553, 0.6122145652770996, -0.06641869992017746]","[0.364555686712265, 0.5611457228660583, -0.10216725617647171]","[0.4611207842826843, 0.5377376675605774, 0.006815698463469744]","[0.4775405526161194, 0.43404901027679443, -0.04497632384300232]","[0.4454425573348999, 0.38412532210350037, -0.08254461735486984]","[0.41444945335388184, 0.35763514041900635, -0.10477965325117111]","[0.49192818999290466, 0.555142879486084, -0.021507639437913895]","[0.4764845669269562, 0.45362335443496704, -0.08379832655191422]","[0.4082954525947571, 0.5049343705177307, -0.11009950190782547]","[0.38826602697372437, 0.5506429076194763, -0.11573318392038345]","[0.5209639668464661, 0.5781261920928955, -0.0574880950152874]","[0.5030285120010376, 0.48335373401641846, -0.11512061953544617]","[0.43625572323799133, 0.5286955833435059, -0.11866120994091034]","[0.4123483896255493, 0.5802868008613586, -0.10797193646430969]","[0.5472038984298706, 0.609605610370636, -0.09540072083473206]","[0.5151447653770447, 0.5398932099342346, -0.12964299321174622]","[0.4633236527442932, 0.5627745389938354, -0.1277417093515396]","[0.44466903805732727, 0.6034691333770752, -0.12007609009742737]"
L,"[0.5561618208885193, 0.7742859125137329, 2.5201597964041866e-07]","[0.6103083491325378, 0.7186801433563232, -0.039009831845760345]","[0.6205196976661682, 0.6459897756576538, -0.05833517014980316]","[0.5962891578674316, 0.5839149355888367, -0.07798963040113449]","[0.5419082045555115, 0.5474013090133667, -0.09664347767829895]","[0.5967920422554016, 0.5302002429962158, 0.001126204035244882]","[0.588983952999115, 0.44796937704086304, -0.009978567250072956]","[0.5868508815765381, 0.39238178730010986, -0.023707270622253418]","[0.5787314176559448, 0.35508039593696594, -0.03702623024582863]","[0.537462055683136, 0.5346791744232178, 0.0019255481893196702]","[0.5060566067695618, 0.4524299204349518, -0.021032897755503654]","[0.5155619382858276, 0.5078513026237488, -0.03160102665424347]","[0.5315017104148865, 0.5453608632087708, -0.03210883215069771]","[0.4910029172897339, 0.559722363948822, -0.0032922541722655296]","[0.4558911919593811, 0.4880235493183136, -0.029135653749108315]","[0.48278364539146423, 0.5319469571113586, -0.03086600825190544]","[0.504554033279419, 0.5747220516204834, -0.025302704423666]","[0.45367565751075745, 0.6049460172653198, -0.013326793909072876]","[0.4346280097961426, 0.546897292137146, -0.03319372609257698]","[0.4570332169532776, 0.5650025010108948, -0.03363458067178726]","[0.4807434380054474, 0.5965754389762878, -0.03050321340560913]"
L,"[0.5262284278869629, 0.779366135597229, 1.4521521052301978e-07]","[0.5903066992759705, 0.7396300435066223, -0.03174040839076042]","[0.6163930892944336, 0.6549404859542847, -0.04558533430099487]","[0.61690354347229, 0.5819864273071289, -0.06160737946629524]","[0.5716232061386108, 0.5329010486602783, -0.07853461802005768]","[0.5747197866439819, 0.5328471660614014, -0.005680337082594633]","[0.5685142278671265, 0.4416229724884033, -0.0210006944835186]","[0.5715643167495728, 0.38495945930480957, -0.03585931658744812]","[0.5704252123832703, 0.33898216485977173, -0.05054187774658203]","[0.52384352684021, 0.5343747735023499, -0.011913582682609558]","[0.5046985745429993, 0.43491530418395996, -0.04585191234946251]","[0.5306918025016785, 0.4850667417049408, -0.06394705176353455]","[0.5488367676734924, 0.5352294445037842, -0.06824462860822678]","[0.4800627827644348, 0.5555775165557861, -0.02250036597251892]","[0.45361366868019104, 0.46338364481925964, -0.06151384487748146]","[0.49643051624298096, 0.5074375867843628, -0.06999733299016953]","[0.5192947387695312, 0.5593605637550354, -0.0660773515701294]","[0.4370376467704773, 0.5906223058700562, -0.03628023713827133]","[0.42930251359939575, 0.5144848823547363, -0.06993567198514938]","[0.46602863073349, 0.5341290831565857, -0.07756023108959198]","[0.49040448665618896, 0.5729690790176392, -0.07745063304901123]"
R,"[0.42864227294921875, 0.7862250208854675, 9.66903826338239e-07]","[0.38315021991729736, 0.748623788356781, -0.149698406457901]","[0.38814491033554077, 0.6777779459953308, -0.21295951306819916]","[0.4454328715801239, 0.6235136985778809, -0.2559461295604706]","[0.5179489254951477, 0.5641196370124817, -0.29366058111190796]","[0.3764909505844116, 0.507752537727356, -0.09577219188213348]","[0.38082268834114075, 0.3979054093360901, -0.1514127552509308]","[0.41209375858306885, 0.34028834104537964, -0.19813814759254456]","[0.43838775157928467, 0.31420236825942993, -0.2312246859073639]","[0.4454941153526306, 0.5253158807754517, -0.04962737113237381]","[0.5113363265991211, 0.44168543815612793, -0.13536185026168823]","[0.5409836173057556, 0.5019455552101135, -0.1996767222881317]","[0.5458800196647644, 0.5659153461456299, -0.22837910056114197]","[0.5057914853096008, 0.5514256358146667, -0.018744146451354027]","[0.5696945786476135, 0.47758159041404724, -0.11343926191329956]","[0.5791659355163574, 0.5335185527801514, -0.17531836032867432]","[0.56041419506073, 0.5898027420043945, -0.19764627516269684]","[0.5588377118110657, 0.5764265656471252, 0.0023848572745919228]","[0.6003090143203735, 0.5354011654853821, -0.08490155637264252]","[0.5986906886100769, 0.5775101780891418, -0.13684113323688507]","[0.5682634115219116, 0.6236162781715393, -0.16061127185821533]"
R,"[0.44875919818878174, 0.870215654373169, -5.831866474181879e-07]","[0.3806961178779602, 0.8103027939796448, -0.049546193331480026]","[0.35202351212501526, 0.7104274034500122, -0.07665785402059555]","[0.3660625219345093, 0.6317325234413147, -0.1072748675942421]","[0.40905457735061646, 0.5797272324562073, -0.13443736732006073]","[0.3918151259422302, 0.550331711769104, -0.012133965268731117]","[0.4045834541320801, 0.4238560199737549, -0.052386097609996796]","[0.4049193859100342, 0.3641657829284668, -0.07984685152769089]","[0.4098169803619385, 0.3229615390300751, -0.09961213171482086]","[0.45734694600105286, 0.55913245677948, -0.016544010490179062]","[0.48426491022109985, 0.43645069003105164, -0.07756782323122025]","[0.4447166621685028, 0.512302041053772, -0.10320260375738144]","[0.4212469458580017, 0.5783150792121887, -0.1072738766670227]","[0.5171465873718262, 0.5841206312179565, -0.029634851962327957]","[0.5485602617263794, 0.4710210859775543, -0.08956369757652283]","[0.5041050910949707, 0.5354914665222168, -0.09366169571876526]","[0.47262826561927795, 0.599970817565918, -0.08239004015922546]","[0.5696129202842712, 0.6234461665153503, -0.04777807369828224]","[0.5758675336837769, 0.5440658926963806, -0.09045283496379852]","[0.5395159125328064, 0.574962317943573, -0.09465846419334412]","[0.5105695724487305, 0.6223310232162476, -0.09021542966365814]"
L,"[0.47289133071899414, 0.8247379660606384, 3.141404079087806e-07]","[0.5472985506057739, 0.7647874355316162, -0.035013046115636826]","[0.5845382809638977, 0.6716349124908447, -0.057729724794626236]","[0.5933813452720642, 0.5943288803100586, -0.0844680592417717]","[0.5414388179779053, 0.5439059138298035, -0.11247041821479797]","[0.5306346416473389, 0.5454573631286621, -0.014385081827640533]","[0.5166851282119751, 0.4338834881782532, -0.04014638811349869]","[0.527976930141449, 0.3737734854221344, -0.06527584791183472]","[0.533035933971405, 0.32665783166885376, -0.08720900863409042]","[0.47836917638778687, 0.5564300417900085, -0.02545592375099659]","[0.4565044939517975, 0.4297933280467987, -0.0723552480340004]","[0.49450021982192993, 0.48072120547294617, -0.10583725571632385]","[0.5156634449958801, 0.5343847870826721, -0.12213712930679321]","[0.4333007335662842, 0.5832089185714722, -0.0410272553563118]","[0.40102237462997437, 0.4662451446056366, -0.08671429753303528]","[0.4587257504463196, 0.5064626932144165, -0.11170239746570587]","[0.4846194386482239, 0.5656934380531311, -0.12053418904542923]","[0.3907060921192169, 0.6203120946884155, -0.060142211616039276]","[0.3766382932662964, 0.5321921110153198, -0.09534765779972076]","[0.4202777147293091, 0.5451785326004028, -0.1151793897151947]","[0.4462038278579712, 0.5850949883460999, -0.1269117295742035]"
L,"[0.4862007796764374, 0.8199176788330078, -3.5507959239566844e-08]","[0.5598645210266113, 0.7740367650985718, -0.02339017204940319]","[0.5955274701118469, 0.673454999923706, -0.04291157051920891]","[0.6084521412849426, 0.5955769419670105, -0.07008970528841019]","[0.5599525570869446, 0.5422971844673157, -0.09842929244041443]","[0.5341188311576843, 0.5163127779960632, -0.017276151105761528]","[0.5133302211761475, 0.38725346326828003, -0.047255028039216995]","[0.5304818153381348, 0.33842337131500244, -0.07050956040620804]","[0.5426837205886841, 0.30541756749153137, -0.09029393643140793]","[0.483124703168869, 0.5323978066444397, -0.03525638207793236]","[0.47000256180763245, 0.41241809725761414, -0.09209936857223511]","[0.522379994392395, 0.4833364188671112, -0.12181436270475388]","[0.5504475831985474, 0.547441303730011, -0.1319923996925354]","[0.43767982721328735, 0.5649644136428833, -0.056576892733573914]","[0.40964412689208984, 0.4454462230205536, -0.11407487094402313]","[0.4775387644767761, 0.5074445605278015, -0.1315343677997589]","[0.5121980309486389, 0.5754128694534302, -0.1312941312789917]","[0.39141345024108887, 0.6078639030456543, -0.07990069687366486]","[0.3815644681453705, 0.5160728096961975, -0.12764066457748413]","[0.4341253638267517, 0.5460840463638306, -0.14413264393806458]","[0.46975451707839966, 0.5960493087768555, -0.1493213027715683]"
L,"[0.5251964330673218, 0.7694533467292786, 1.1854082515583286e-07]","[0.5782573819160461, 0.7364670038223267, -0.07888179272413254]","[0.582134485244751, 0.6668705344200134, -0.11468493938446045]","[0.5161157250404358, 0.6138640642166138, -0.14328095316886902]","[0.4505460858345032, 0.5737065672874451, -0.16723588109016418]","[0.5675333738327026, 0.5188937187194824, -0.04041597247123718]","[0.5692365169525146, 0.41657716035842896, -0.08734352886676788]","[0.5441696047782898, 0.3660275638103485, -0.12056157737970352]","[0.5124419927597046, 0.35811832547187805, -0.13790559768676758]","[0.5067198872566223, 0.5241684913635254, -0.0236114002764225]","[0.4459713101387024, 0.46080151200294495, -0.0829334706068039]","[0.42852091789245605, 0.5243146419525146, -0.11009437590837479]","[0.4446854889392853, 0.5797160863876343, -0.11469852924346924]","[0.45757371187210083, 0.5439578890800476, -0.019042160362005234]","[0.39800241589546204, 0.4975752830505371, -0.08265400677919388]","[0.40268075466156006, 0.5549193024635315, -0.09932239353656769]","[0.42979276180267334, 0.5996567010879517, -0.09373658150434494]","[0.42254942655563354, 0.5739613771438599, -0.02097223326563835]","[0.37590569257736206, 0.5328081250190735, -0.06750676780939102]","[0.3821747899055481, 0.5690024495124817, -0.07759606838226318]","[0.4108802080154419, 0.6035706400871277, -0.07363956421613693]"
R,"[0.4749705493450165, 0.8115525245666504, -6.172518283165118e-07]","[0.4036271274089813, 0.7568202018737793, -0.022501440718770027]","[0.36150312423706055, 0.674160897731781, -0.043298907577991486]","[0.3513442277908325, 0.6062948107719421, -0.07271037995815277]","[0.3927244544029236, 0.5760716199874878, -0.09953335672616959]","[0.42119595408439636, 0.5439027547836304, 0.007672162726521492]","[0.4400368630886078, 0.4351210296154022, -0.03579970821738243]","[0.4227621555328369, 0.37906819581985474, -0.06365200132131577]","[0.41004735231399536, 0.3476908206939697, -0.07959181070327759]","[0.462527334690094, 0.5536112785339355, -0.006804598029702902]","[0.4717917740345001, 0.44703999161720276, -0.05933409184217453]","[0.42395055294036865, 0.5062793493270874, -0.07265684753656387]","[0.41211986541748047, 0.5582680702209473, -0.06790491193532944]","[0.5065346360206604, 0.5761151313781738, -0.029599769040942192]","[0.5159857869148254, 0.4741886258125305, -0.07892709970474243]","[0.4651928246021271, 0.5281593203544617, -0.06974753737449646]","[0.44845330715179443, 0.5825783014297485, -0.049613673239946365]","[0.5481710433959961, 0.6128391623497009, -0.05609482526779175]","[0.5410789251327515, 0.5361558198928833, -0.08537229150533676]","[0.4956561028957367, 0.5607230067253113, -0.07712022215127945]","[0.4768219292163849, 0.6045377254486084, -0.06377378106117249]"
R,"[0.5241221785545349, 0.7816987037658691, -6.799706397941918e-07]","[0.44023218750953674, 0.7404592037200928, -0.010490183718502522]","[0.38290899991989136, 0.6611565351486206, -0.025148769840598106]","[0.34654700756073, 0.6083934903144836, -0.04905252903699875]","[0.35470330715179443, 0.561445951461792, -0.07123216241598129]","[0.47389087080955505, 0.5276247262954712, 0.01070971880108118]","[0.48204487562179565, 0.4283645749092102, -0.03149580582976341]","[0.4470333755016327, 0.376688152551651, -0.05937271937727928]","[0.4150640368461609, 0.3437298536300659, -0.07533027976751328]","[0.5081533789634705, 0.5404388904571533, -0.010011312551796436]","[0.46335262060165405, 0.4436083137989044, -0.06369895488023758]","[0.39203429222106934, 0.4952555298805237, -0.07872069627046585]","[0.3754993677139282, 0.5480785965919495, -0.07517122477293015]","[0.5342971682548523, 0.5650138258934021, -0.038299739360809326]","[0.4869328737258911, 0.47899457812309265, -0.09224028140306473]","[0.4147028923034668, 0.5274043679237366, -0.08809462189674377]","[0.3951285779476166, 0.5802609920501709, -0.06963897496461868]","[0.5506930351257324, 0.6008041501045227, -0.06857794523239136]","[0.49711498618125916, 0.532977283000946, -0.10297400504350662]","[0.44060221314430237, 0.5583988428115845, -0.0982060581445694]","[0.42342808842658997, 0.6009031534194946, -0.08536915481090546]"
