Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.3825162649154663, 0.624919593334198, 5.673603595823806e-07]","[0.41272294521331787, 0.5167866945266724, 0.06979337334632874]","[0.4777117967605591, 0.47619059681892395, 0.08580327779054642]","[0.5469574332237244, 0.47988274693489075, 0.0895531177520752]","[0.5947550535202026, 0.5114992260932922, 0.09220696985721588]","[0.5125213861465454, 0.42155569791793823, 0.016337988898158073]","[0.6411669850349426, 0.40821510553359985, 0.02110241912305355]","[0.7057238817214966, 0.40517693758010864, 0.027358122169971466]","[0.7618333697319031, 0.4017829895019531, 0.031069841235876083]","[0.5486077070236206, 0.4633041322231293, -0.016208503395318985]","[0.6792892813682556, 0.45313432812690735, -0.007013664580881596]","[0.7543016672134399, 0.4495239853858948, -0.0058671096339821815]","[0.8075599670410156, 0.44350555539131165, -0.009637454524636269]","[0.5700321197509766, 0.5189812183380127, -0.03718654811382294]","[0.6371659636497498, 0.5628365874290466, 0.0010256485547870398]","[0.5941367745399475, 0.5878086686134338, 0.027959579601883888]","[0.5576549768447876, 0.5951328873634338, 0.03709543123841286]","[0.5820921659469604, 0.5768993496894836, -0.05464513227343559]","[0.6056464314460754, 0.6145833730697632, -0.00863760244101286]","[0.5664934515953064, 0.6281082630157471, 0.0201327633112669]","[0.5368945002555847, 0.6259554624557495, 0.035181693732738495]"
L,"[0.3584516644477844, 0.6433651447296143, 5.169047767594748e-07]","[0.385075181722641, 0.5133809447288513, 0.049484916031360626]","[0.45314306020736694, 0.4627068042755127, 0.06808497756719589]","[0.525596559047699, 0.4679564833641052, 0.07841715216636658]","[0.5757671594619751, 0.5010351538658142, 0.08862175047397614]","[0.5131831169128418, 0.4100457429885864, 0.026152649894356728]","[0.6466385722160339, 0.40258610248565674, 0.038424551486968994]","[0.7136285305023193, 0.3976450562477112, 0.04922887682914734]","[0.7697259187698364, 0.39449208974838257, 0.05746069923043251]","[0.559244692325592, 0.4623771011829376, 0.007960539311170578]","[0.6863860487937927, 0.4530332684516907, 0.02386239357292652]","[0.7631532549858093, 0.44782546162605286, 0.02549717202782631]","[0.8161462545394897, 0.4436769485473633, 0.02394275926053524]","[0.5858506560325623, 0.5291663408279419, -0.00201324257068336]","[0.6294655203819275, 0.5683452486991882, 0.03024701587855816]","[0.5918550491333008, 0.5917844176292419, 0.04108593612909317]","[0.5578010082244873, 0.6003900170326233, 0.043310340493917465]","[0.5993411540985107, 0.5921018719673157, -0.009035352617502213]","[0.6101289987564087, 0.6209307312965393, 0.02909955196082592]","[0.5712677836418152, 0.6340686678886414, 0.048218779265880585]","[0.5399360060691833, 0.6357083320617676, 0.059401702135801315]"
L,"[0.3941289186477661, 0.6103959083557129, 6.251230502130056e-07]","[0.4184414744377136, 0.5130237340927124, 0.02635898068547249]","[0.46620437502861023, 0.4738641381263733, 0.023781172931194305]","[0.5233149528503418, 0.48049673438072205, 0.015565930865705013]","[0.5632190704345703, 0.5079542994499207, 0.00773283839225769]","[0.5093158483505249, 0.43114396929740906, -0.019348911941051483]","[0.6192846894264221, 0.41569364070892334, -0.032242726534605026]","[0.6809320449829102, 0.40651169419288635, -0.03403305262327194]","[0.730923056602478, 0.4013146460056305, -0.03214207664132118]","[0.5458016991615295, 0.4726874530315399, -0.037072088569402695]","[0.6534469723701477, 0.4579712152481079, -0.04972345009446144]","[0.7211422920227051, 0.4511873126029968, -0.05546363815665245]","[0.7657635807991028, 0.4462100565433502, -0.057199325412511826]","[0.5686490535736084, 0.5286638140678406, -0.04732177034020424]","[0.6026281714439392, 0.5588672161102295, -0.0385354682803154]","[0.5788909196853638, 0.5733442306518555, -0.021285101771354675]","[0.5507605671882629, 0.5764247179031372, -0.008209221996366978]","[0.5770744681358337, 0.5846920609474182, -0.05678003281354904]","[0.5910691618919373, 0.6061912775039673, -0.03267804533243179]","[0.5663794875144958, 0.6178629398345947, -0.007285186089575291]","[0.5390306115150452, 0.6177215576171875, 0.012752204202115536]"
R,"[0.6536226868629456, 0.6414767503738403, -1.897554255947398e-07]","[0.6267978549003601, 0.5433108806610107, 0.03501739725470543]","[0.5467076301574707, 0.4859998822212219, 0.029655668884515762]","[0.45486733317375183, 0.47879138588905334, 0.015499955974519253]","[0.3911110758781433, 0.4917571544647217, -0.006671497598290443]","[0.5111631155014038, 0.42286282777786255, -0.013780546374619007]","[0.3797200322151184, 0.40502339601516724, -0.015093685127794743]","[0.3033265173435211, 0.40228134393692017, -0.009948094375431538]","[0.249368816614151, 0.39462247490882874, -0.008841508999466896]","[0.5082189440727234, 0.457948237657547, -0.04049932584166527]","[0.35634946823120117, 0.45535939931869507, -0.03768070414662361]","[0.2816542088985443, 0.4538395404815674, -0.030972525477409363]","[0.22229596972465515, 0.44238102436065674, -0.031141657382249832]","[0.5033572912216187, 0.5119688510894775, -0.05972204729914665]","[0.38382476568222046, 0.5540041327476501, -0.04595200717449188]","[0.4218361973762512, 0.5856791734695435, -0.027591371908783913]","[0.46467292308807373, 0.5850964784622192, -0.021960819140076637]","[0.49448391795158386, 0.5703387260437012, -0.0764312669634819]","[0.4166927635669708, 0.6076271533966064, -0.06677792221307755]","[0.452393114566803, 0.6268362998962402, -0.05017097294330597]","[0.49229714274406433, 0.6202044486999512, -0.040537942200899124]"
R,"[0.6783736944198608, 0.6728468537330627, -2.453766967391857e-07]","[0.6467993855476379, 0.5309808850288391, 0.06165739893913269]","[0.5534964799880981, 0.4615984857082367, 0.06607620418071747]","[0.4425608217716217, 0.45831531286239624, 0.05753028020262718]","[0.35559964179992676, 0.4847746789455414, 0.03918500244617462]","[0.5157268643379211, 0.40422743558883667, -0.0007823797641322017]","[0.3434297442436218, 0.3783743977546692, 0.01696998067200184]","[0.2540483772754669, 0.38373297452926636, 0.040575362741947174]","[0.1864829957485199, 0.3748234808444977, 0.054153960198163986]","[0.48742157220840454, 0.4461243152618408, -0.0370226614177227]","[0.3043740391731262, 0.4424266517162323, -0.018009018152952194]","[0.20896437764167786, 0.445718377828598, -0.0026936461217701435]","[0.12962660193443298, 0.429394394159317, 0.0028525053057819605]","[0.4657546579837799, 0.5155569911003113, -0.06137092038989067]","[0.36334121227264404, 0.5770957469940186, -0.03527213633060455]","[0.41525959968566895, 0.6317873597145081, -0.025235936045646667]","[0.4656233489513397, 0.6376504302024841, -0.026726488023996353]","[0.4410369396209717, 0.5881339311599731, -0.07997710257768631]","[0.39366424083709717, 0.6482358574867249, -0.062404800206422806]","[0.44290947914123535, 0.6774691939353943, -0.05146494880318642]","[0.4926793873310089, 0.6738311052322388, -0.04660410434007645]"
L,"[0.41364508867263794, 0.6254458427429199, 8.10318567801005e-07]","[0.47872817516326904, 0.5251291990280151, 0.08448255807161331]","[0.5543972849845886, 0.4950706660747528, 0.07114799320697784]","[0.6139262318611145, 0.4952777624130249, 0.05007629469037056]","[0.6737096905708313, 0.504594087600708, 0.022648686543107033]","[0.5609076619148254, 0.42029866576194763, -0.07449275255203247]","[0.6793634295463562, 0.40726763010025024, -0.06352153420448303]","[0.7436997890472412, 0.399810254573822, -0.04794781655073166]","[0.800866961479187, 0.39063629508018494, -0.04049564525485039]","[0.5755720734596252, 0.47471320629119873, -0.11522817611694336]","[0.7069181203842163, 0.45209360122680664, -0.08207446336746216]","[0.7812211513519287, 0.4498123526573181, -0.052589986473321915]","[0.8452749252319336, 0.4392986297607422, -0.048375628888607025]","[0.583831250667572, 0.5387163162231445, -0.13464808464050293]","[0.6503320336341858, 0.5539717674255371, -0.046518318355083466]","[0.5816209316253662, 0.5729711651802063, 0.008535712026059628]","[0.5302789211273193, 0.5794092416763306, 0.013523316942155361]","[0.5975226163864136, 0.6032357811927795, -0.15021267533302307]","[0.6199601888656616, 0.607788622379303, -0.060656700283288956]","[0.570766270160675, 0.6137703657150269, -0.011785714887082577]","[0.5351892709732056, 0.6156375408172607, 0.0012783179990947247]"
R,"[0.6407343149185181, 0.6598144769668579, -3.921564086795115e-07]","[0.5879607796669006, 0.5487067699432373, 0.11074480414390564]","[0.5114468336105347, 0.4947195053100586, 0.14070217311382294]","[0.4349035620689392, 0.4785386025905609, 0.16045363247394562]","[0.35912400484085083, 0.4809449315071106, 0.17441193759441376]","[0.4921143054962158, 0.41824084520339966, 0.0013296982506290078]","[0.35545438528060913, 0.3886592388153076, 0.05692133679986]","[0.27689188718795776, 0.3860531151294708, 0.10655273497104645]","[0.21452420949935913, 0.3782263398170471, 0.13393346965312958]","[0.4709097445011139, 0.4694710969924927, -0.038557980209589005]","[0.3245980739593506, 0.4373532831668854, 0.028471339493989944]","[0.24060258269309998, 0.43157514929771423, 0.07226213067770004]","[0.16919267177581787, 0.4108012318611145, 0.08572852611541748]","[0.4521886706352234, 0.5293232202529907, -0.05759487301111221]","[0.3816709518432617, 0.5542185306549072, 0.03645823150873184]","[0.4341238737106323, 0.6043798923492432, 0.0740196630358696]","[0.4774335026741028, 0.6063573956489563, 0.07144595682621002]","[0.421377569437027, 0.5835005640983582, -0.0684620663523674]","[0.39810094237327576, 0.6196740865707397, 0.010979973711073399]","[0.4450639486312866, 0.6456635594367981, 0.04229935258626938]","[0.4888198971748352, 0.6478869318962097, 0.046707071363925934]"
R,"[0.6863584518432617, 0.6420938968658447, -1.9769262848967628e-07]","[0.6673171520233154, 0.5232149958610535, 0.0770423486828804]","[0.5949722528457642, 0.4709629416465759, 0.10158997774124146]","[0.519295871257782, 0.4559452533721924, 0.11308225989341736]","[0.4570901393890381, 0.474576473236084, 0.1196347251534462]","[0.5409143567085266, 0.4199006259441376, 0.04350356012582779]","[0.40966254472732544, 0.4013219177722931, 0.0667523667216301]","[0.33432537317276, 0.39977338910102844, 0.08896832913160324]","[0.2791452407836914, 0.3925725519657135, 0.10166601091623306]","[0.5187856554985046, 0.45677101612091064, 0.013881686143577099]","[0.37914642691612244, 0.4576278626918793, 0.03186317905783653]","[0.30139535665512085, 0.45410022139549255, 0.04482898861169815]","[0.23926612734794617, 0.4418438673019409, 0.05133984982967377]","[0.5023437142372131, 0.5154122114181519, -0.003667389275506139]","[0.4225624203681946, 0.5570451021194458, 0.034818511456251144]","[0.46281394362449646, 0.5881915092468262, 0.061092544347047806]","[0.503191351890564, 0.5854971408843994, 0.07249314337968826]","[0.4862859547138214, 0.5781385898590088, -0.015769334509968758]","[0.45001792907714844, 0.610530436038971, 0.01867709308862686]","[0.49003157019615173, 0.6275673508644104, 0.041609026491642]","[0.5281776785850525, 0.6202102303504944, 0.056443750858306885]"
L,"[0.4186611473560333, 0.6082924604415894, 7.085715196808451e-07]","[0.44013360142707825, 0.5066941976547241, 0.017218904569745064]","[0.4972400367259979, 0.4613870084285736, 0.010960151441395283]","[0.5590065121650696, 0.4641401469707489, 0.00010160463716601953]","[0.5997673869132996, 0.4960496127605438, -0.010204573161900043]","[0.5394681096076965, 0.4272487163543701, -0.03023100271821022]","[0.6546026468276978, 0.4114965498447418, -0.05088447406888008]","[0.7203521728515625, 0.4067024290561676, -0.058808207511901855]","[0.7726745009422302, 0.4025782644748688, -0.062091682106256485]","[0.5753253102302551, 0.4698193669319153, -0.047549568116664886]","[0.6948050260543823, 0.4534027874469757, -0.06342744827270508]","[0.768723726272583, 0.4451223313808441, -0.07052652537822723]","[0.8218197226524353, 0.4377080202102661, -0.07468489557504654]","[0.5942110419273376, 0.5246807336807251, -0.059116508811712265]","[0.6486231088638306, 0.5512006878852844, -0.05835391953587532]","[0.6153197884559631, 0.5664991140365601, -0.039842598140239716]","[0.5821895003318787, 0.568850576877594, -0.02536742575466633]","[0.601190984249115, 0.5806244611740112, -0.07072905451059341]","[0.6216124892234802, 0.6021172404289246, -0.05959543213248253]","[0.5915205478668213, 0.6129345297813416, -0.03886999934911728]","[0.5648403167724609, 0.6115860342979431, -0.021352197974920273]"
L,"[0.43000510334968567, 0.6148000359535217, 4.909555855192593e-07]","[0.4466252028942108, 0.5025140047073364, 0.024952957406640053]","[0.5025256872177124, 0.4560467004776001, 0.034104302525520325]","[0.5676630139350891, 0.4627246558666229, 0.03756923973560333]","[0.6105218529701233, 0.49610739946365356, 0.04045094549655914]","[0.5532165765762329, 0.4177940785884857, 0.016025109216570854]","[0.6637812256813049, 0.415914922952652, 0.024953942745923996]","[0.7203710675239563, 0.4145924746990204, 0.03401070833206177]","[0.7641741633415222, 0.41181761026382446, 0.04171440005302429]","[0.5938804149627686, 0.4612422287464142, 0.006055678240954876]","[0.697150468826294, 0.46302399039268494, 0.021124200895428658]","[0.7590151429176331, 0.4607223570346832, 0.02488723397254944]","[0.8008407950401306, 0.45723608136177063, 0.02684706635773182]","[0.6193357706069946, 0.5129858255386353, -0.00027423264691606164]","[0.6507946252822876, 0.553532600402832, 0.01848212629556656]","[0.6210923194885254, 0.5728853940963745, 0.01848580501973629]","[0.5910835266113281, 0.5791847705841064, 0.01751372404396534]","[0.6349067091941833, 0.5631871223449707, -0.005068821832537651]","[0.6397377848625183, 0.5951893329620361, 0.01669299229979515]","[0.612045168876648, 0.607681393623352, 0.02449444681406021]","[0.5851906538009644, 0.6087316274642944, 0.030470719560980797]"
R,"[0.6506137847900391, 0.6724666953086853, -6.216030215000501e-07]","[0.5961527824401855, 0.5895819067955017, -0.0028352485969662666]","[0.5145002603530884, 0.5181291103363037, -0.0217814389616251]","[0.42902371287345886, 0.49846792221069336, -0.04479236900806427]","[0.3771456480026245, 0.490756630897522, -0.072970911860466]","[0.5259802341461182, 0.41941919922828674, -0.03382541239261627]","[0.40371182560920715, 0.3867124915122986, -0.06647326797246933]","[0.33041834831237793, 0.37709686160087585, -0.09072314947843552]","[0.27086806297302246, 0.35993629693984985, -0.10883120447397232]","[0.5389737486839294, 0.45794913172721863, -0.055980417877435684]","[0.37595319747924805, 0.437736451625824, -0.08252868056297302]","[0.28674226999282837, 0.43210524320602417, -0.0973271057009697]","[0.21625259518623352, 0.4103686213493347, -0.11157382279634476]","[0.5407893657684326, 0.5167940855026245, -0.07743712514638901]","[0.39658838510513306, 0.5577254891395569, -0.09873675554990768]","[0.42754286527633667, 0.5949936509132385, -0.09373890608549118]","[0.4748285412788391, 0.5934282541275024, -0.09277116507291794]","[0.5369313359260559, 0.5804123878479004, -0.09959836304187775]","[0.42727571725845337, 0.6163721680641174, -0.11322461813688278]","[0.4532565474510193, 0.641508162021637, -0.09927638620138168]","[0.4958703815937042, 0.6356381177902222, -0.09015002846717834]"
R,"[0.6357535123825073, 0.6736228466033936, -3.606676841627632e-07]","[0.6036126613616943, 0.5669713020324707, 0.010762456804513931]","[0.5113694071769714, 0.4958499073982239, -0.0035005994141101837]","[0.40354394912719727, 0.49058452248573303, -0.023219868540763855]","[0.3294873833656311, 0.5099960565567017, -0.05203726142644882]","[0.4823477268218994, 0.4146948754787445, -0.036893054842948914]","[0.33830687403678894, 0.3862729072570801, -0.059809379279613495]","[0.24947106838226318, 0.38007381558418274, -0.07631652057170868]","[0.18400144577026367, 0.3673573136329651, -0.0896020233631134]","[0.4913743734359741, 0.4575760066509247, -0.05982104688882828]","[0.3164917230606079, 0.4404476583003998, -0.07273434847593307]","[0.2270299196243286, 0.43390655517578125, -0.08089368045330048]","[0.15690496563911438, 0.41673099994659424, -0.09230250120162964]","[0.4954123795032501, 0.5211372971534729, -0.07823963463306427]","[0.34228581190109253, 0.561515748500824, -0.08759821206331253]","[0.3753697872161865, 0.5987842082977295, -0.08080222457647324]","[0.4229440689086914, 0.6012478470802307, -0.07945524156093597]","[0.4921687841415405, 0.5903480648994446, -0.09527131915092468]","[0.3799092173576355, 0.6217270493507385, -0.10364077240228653]","[0.41080808639526367, 0.6431798338890076, -0.0895988792181015]","[0.4562513530254364, 0.6390115022659302, -0.08000613749027252]"
R,"[0.6192494034767151, 0.6728624701499939, -6.910974548191007e-07]","[0.5626006722450256, 0.5950937867164612, -0.0017516653751954436]","[0.48864850401878357, 0.5350512266159058, -0.021538034081459045]","[0.4116571545600891, 0.5159167647361755, -0.046182356774806976]","[0.3760531544685364, 0.5018740296363831, -0.07440900057554245]","[0.504817545413971, 0.42564457654953003, -0.03251224756240845]","[0.394396036863327, 0.3999958634376526, -0.0662069097161293]","[0.32608112692832947, 0.3981703519821167, -0.09004323929548264]","[0.26811322569847107, 0.39015552401542664, -0.10549429804086685]","[0.519191563129425, 0.46118253469467163, -0.05279869586229324]","[0.3721340298652649, 0.44132760167121887, -0.08110625296831131]","[0.2928028702735901, 0.43669411540031433, -0.09632325917482376]","[0.22756406664848328, 0.42228612303733826, -0.10991375893354416]","[0.5247410535812378, 0.5156651735305786, -0.07207025587558746]","[0.3964764475822449, 0.5531799793243408, -0.09140326082706451]","[0.4253014326095581, 0.585073709487915, -0.08401738107204437]","[0.4655562937259674, 0.5866609811782837, -0.0812951847910881]","[0.5211743116378784, 0.5741906762123108, -0.0920889675617218]","[0.42287886142730713, 0.6051979064941406, -0.09949596971273422]","[0.44660982489585876, 0.6271398067474365, -0.08306188136339188]","[0.48587724566459656, 0.6224550604820251, -0.07237810641527176]"
R,"[0.6599593758583069, 0.6567611694335938, -2.9448904115270125e-07]","[0.6283344030380249, 0.5444976091384888, 0.022882472723722458]","[0.5342567563056946, 0.4749935567378998, 0.005536743905395269]","[0.42948055267333984, 0.4578663110733032, -0.018875833600759506]","[0.35331109166145325, 0.4651591181755066, -0.052348166704177856]","[0.4965062439441681, 0.4061226546764374, -0.0379534587264061]","[0.3403169512748718, 0.38252705335617065, -0.050513606518507004]","[0.24704650044441223, 0.38014715909957886, -0.05171211436390877]","[0.18240150809288025, 0.371185302734375, -0.05481298267841339]","[0.4995306730270386, 0.44775766134262085, -0.06666173040866852]","[0.3184402287006378, 0.4491231441497803, -0.06851786375045776]","[0.24868744611740112, 0.4586137533187866, -0.06008337065577507]","[0.1971237063407898, 0.4518444538116455, -0.06020941585302353]","[0.4960819482803345, 0.5080491304397583, -0.08921077847480774]","[0.34276971220970154, 0.555365800857544, -0.0864027589559555]","[0.38335853815078735, 0.5987043380737305, -0.06972981989383698]","[0.4320071041584015, 0.6015172004699707, -0.06610685586929321]","[0.4885038137435913, 0.5714734792709351, -0.10991685837507248]","[0.3904052674770355, 0.619938850402832, -0.11367997527122498]","[0.4301777780056, 0.6463951468467712, -0.09932133555412292]","[0.4765356779098511, 0.6407625675201416, -0.0908423587679863]"
L,"[0.37750208377838135, 0.6261594295501709, 7.485201081181003e-07]","[0.4163104295730591, 0.520175576210022, 0.059796757996082306]","[0.49190422892570496, 0.4803510010242462, 0.05374981835484505]","[0.5634037256240845, 0.47207215428352356, 0.04107799008488655]","[0.6276741027832031, 0.4803924262523651, 0.026966877281665802]","[0.5127822756767273, 0.41877299547195435, -0.05516861379146576]","[0.6448213458061218, 0.40638259053230286, -0.061241623014211655]","[0.7124866247177124, 0.400176465511322, -0.05735040828585625]","[0.7696064114570618, 0.3900638222694397, -0.0559861995279789]","[0.5353829264640808, 0.467637300491333, -0.0907730758190155]","[0.6786317825317383, 0.4487318992614746, -0.09042906016111374]","[0.7566144466400146, 0.4438951313495636, -0.08196469396352768]","[0.8126112818717957, 0.4355863332748413, -0.08436442166566849]","[0.5490081310272217, 0.5273140668869019, -0.11072337627410889]","[0.6375507712364197, 0.5543438792228699, -0.07073915004730225]","[0.5893712043762207, 0.5744948387145996, -0.022816898301243782]","[0.5472181439399719, 0.5781774520874023, -0.006018528714776039]","[0.5565774440765381, 0.5880581736564636, -0.1281863898038864]","[0.5995811820030212, 0.6084724068641663, -0.07969944179058075]","[0.5605414509773254, 0.6215080618858337, -0.03650858625769615]","[0.529463529586792, 0.620258092880249, -0.015452655963599682]"
R,"[0.5811771750450134, 0.6475669741630554, -3.071064043069782e-07]","[0.5906924605369568, 0.5308345556259155, 0.08276961743831635]","[0.5277981162071228, 0.4732777774333954, 0.13244366645812988]","[0.4671250879764557, 0.45892760157585144, 0.17073796689510345]","[0.41178786754608154, 0.4707310199737549, 0.2058226317167282]","[0.4831998944282532, 0.41757693886756897, 0.10611052066087723]","[0.3864407241344452, 0.4051353931427002, 0.16391973197460175]","[0.3316906690597534, 0.4070684313774109, 0.21029847860336304]","[0.29088425636291504, 0.4021397531032562, 0.24113576114177704]","[0.444369375705719, 0.4613370895385742, 0.08683161437511444]","[0.33408236503601074, 0.4605310559272766, 0.14570288360118866]","[0.27431419491767883, 0.4624527096748352, 0.1826062947511673]","[0.22564837336540222, 0.45132070779800415, 0.20758947730064392]","[0.41643279790878296, 0.5199520587921143, 0.07504461705684662]","[0.37028294801712036, 0.5424486398696899, 0.1273801624774933]","[0.4063287377357483, 0.5775052905082703, 0.14577661454677582]","[0.44109010696411133, 0.5854896306991577, 0.15626029670238495]","[0.39135992527008057, 0.5833284854888916, 0.07024490088224411]","[0.3707781434059143, 0.6049457788467407, 0.10911776125431061]","[0.403196781873703, 0.6247154474258423, 0.12518315017223358]","[0.44148898124694824, 0.6319115161895752, 0.13815747201442719]"
R,"[0.6319429874420166, 0.6584629416465759, -2.376040839635607e-07]","[0.6169342994689941, 0.5249511003494263, 0.06870812922716141]","[0.5273621082305908, 0.46219515800476074, 0.08910821378231049]","[0.43445348739624023, 0.449589341878891, 0.0988575667142868]","[0.3613136410713196, 0.47374582290649414, 0.10310178995132446]","[0.47174420952796936, 0.4038984477519989, 0.026113810017704964]","[0.31567561626434326, 0.3849262297153473, 0.048025380820035934]","[0.2282828986644745, 0.3834347724914551, 0.07199027389287949]","[0.1686532199382782, 0.3722229301929474, 0.08498448878526688]","[0.4496670365333557, 0.4482315480709076, -0.003084444673731923]","[0.2836129665374756, 0.4416622221469879, 0.016975529491901398]","[0.19813919067382812, 0.4382420778274536, 0.03496713936328888]","[0.1318177580833435, 0.4235727787017822, 0.04422859847545624]","[0.4323115348815918, 0.5158731937408447, -0.02050020545721054]","[0.33516091108322144, 0.5531532168388367, 0.015542295761406422]","[0.38097405433654785, 0.5923212170600891, 0.04457319155335426]","[0.42599427700042725, 0.5926913022994995, 0.058219294995069504]","[0.41867733001708984, 0.587770938873291, -0.03299013525247574]","[0.36929431557655334, 0.6188816428184509, -0.005199940875172615]","[0.4164541959762573, 0.6395865082740784, 0.01778343692421913]","[0.4605580270290375, 0.6363794207572937, 0.03367960825562477]"
L,"[0.42096513509750366, 0.6454771161079407, -2.623641819354816e-07]","[0.42635512351989746, 0.5288664698600769, 0.11106725037097931]","[0.4751196801662445, 0.46998366713523865, 0.17883360385894775]","[0.518558144569397, 0.45654433965682983, 0.23079334199428558]","[0.5610741972923279, 0.46765485405921936, 0.2789580225944519]","[0.5394920706748962, 0.4221521019935608, 0.1505742073059082]","[0.6250876784324646, 0.42056500911712646, 0.24306108057498932]","[0.6508440971374512, 0.4401835501194, 0.30728036165237427]","[0.6650416254997253, 0.44905632734298706, 0.3469237983226776]","[0.5750564336776733, 0.46762457489967346, 0.12704630196094513]","[0.6486705541610718, 0.47252869606018066, 0.23005802929401398]","[0.6714087724685669, 0.484096884727478, 0.27395039796829224]","[0.6832581162452698, 0.48464706540107727, 0.2911004424095154]","[0.5958155989646912, 0.5212377309799194, 0.11105171591043472]","[0.6204870343208313, 0.5315217971801758, 0.1998174786567688]","[0.5679793953895569, 0.5624385476112366, 0.19461238384246826]","[0.5347722172737122, 0.5837278962135315, 0.17224186658859253]","[0.6170335412025452, 0.5694989562034607, 0.10481154918670654]","[0.6050694584846497, 0.5834618210792542, 0.16622287034988403]","[0.5608495473861694, 0.599908173084259, 0.15978655219078064]","[0.5290083289146423, 0.6080672740936279, 0.1424836814403534]"
L,"[0.35628896951675415, 0.6192662119865417, 3.177826783939963e-07]","[0.3910674750804901, 0.507256031036377, 0.07165388017892838]","[0.4403496980667114, 0.46509385108947754, 0.09098261594772339]","[0.5031262040138245, 0.4631606638431549, 0.0985829159617424]","[0.5450709462165833, 0.48582884669303894, 0.10461300611495972]","[0.4912736713886261, 0.4212948977947235, 0.034127768129110336]","[0.6049206256866455, 0.41523277759552, 0.05067057907581329]","[0.6623392701148987, 0.4114607572555542, 0.06374280154705048]","[0.7108480334281921, 0.4110058546066284, 0.07257642596960068]","[0.5314604640007019, 0.4684291183948517, 0.010227509774267673]","[0.6350700259208679, 0.46041780710220337, 0.029073195531964302]","[0.6990070343017578, 0.4578215479850769, 0.03427206724882126]","[0.7397361993789673, 0.4569011628627777, 0.033525921404361725]","[0.5533067584037781, 0.5242760181427002, -0.002125621773302555]","[0.577930748462677, 0.5460323691368103, 0.05095376446843147]","[0.546375036239624, 0.5604329109191895, 0.07223565876483917]","[0.5184910893440247, 0.5697575211524963, 0.07509385049343109]","[0.5649257898330688, 0.5826193690299988, -0.010730997659265995]","[0.5656499862670898, 0.594261646270752, 0.05011675879359245]","[0.5373594760894775, 0.606537401676178, 0.07585805654525757]","[0.512397050857544, 0.6110026836395264, 0.08703447878360748]"
R,"[0.6187499761581421, 0.6369015574455261, -5.798289635094989e-07]","[0.5928332209587097, 0.5312020778656006, 0.10451208800077438]","[0.5152525305747986, 0.4802128076553345, 0.16605685651302338]","[0.4483432471752167, 0.4728860855102539, 0.21541628241539001]","[0.3882572054862976, 0.48475536704063416, 0.25763994455337524]","[0.4749296009540558, 0.41208961606025696, 0.11313191801309586]","[0.36680129170417786, 0.40583884716033936, 0.18940642476081848]","[0.30989548563957214, 0.4160640239715576, 0.2440919727087021]","[0.26488304138183594, 0.4181439280509949, 0.2789698541164398]","[0.4359748661518097, 0.46205729246139526, 0.08809250593185425]","[0.323245644569397, 0.46383118629455566, 0.18058185279369354]","[0.2608919143676758, 0.4763210117816925, 0.22299087047576904]","[0.20869162678718567, 0.46671658754348755, 0.2416781485080719]","[0.41200220584869385, 0.5220878720283508, 0.0737307146191597]","[0.3596789240837097, 0.5433492064476013, 0.1542244702577591]","[0.40170615911483765, 0.5848430395126343, 0.15428152680397034]","[0.4374399185180664, 0.5873897075653076, 0.13924512267112732]","[0.38738617300987244, 0.5823924541473389, 0.06891081482172012]","[0.37733182311058044, 0.6074779629707336, 0.12482338398694992]","[0.4201728403568268, 0.6333270072937012, 0.1307690292596817]","[0.46191999316215515, 0.6411817669868469, 0.1273261457681656]"
L,"[0.3792262077331543, 0.6295653581619263, 4.739434018574684e-07]","[0.39999309182167053, 0.5150406956672668, 0.045105643570423126]","[0.4591800570487976, 0.46891337633132935, 0.06687653064727783]","[0.5168602466583252, 0.47030577063560486, 0.08024398982524872]","[0.5572394132614136, 0.49352312088012695, 0.09305867552757263]","[0.508216142654419, 0.42563334107398987, 0.04237709194421768]","[0.6188506484031677, 0.4168650805950165, 0.06332523375749588]","[0.6722866892814636, 0.41544973850250244, 0.0779855027794838]","[0.7155168056488037, 0.4126077890396118, 0.08825773000717163]","[0.5475598573684692, 0.4703565239906311, 0.027658136561512947]","[0.6512888073921204, 0.4643517732620239, 0.053169429302215576]","[0.7134753465652466, 0.46041005849838257, 0.05803351476788521]","[0.758197546005249, 0.4571916162967682, 0.0579436831176281]","[0.5726807713508606, 0.5263374447822571, 0.01874198205769062]","[0.5987664461135864, 0.5547875761985779, 0.053054917603731155]","[0.56371009349823, 0.5737127661705017, 0.05739884078502655]","[0.5320032238960266, 0.5814443230628967, 0.05507608875632286]","[0.5869523286819458, 0.5798205137252808, 0.012386714108288288]","[0.5888738632202148, 0.6034194231033325, 0.048109106719493866]","[0.5593648552894592, 0.6166283488273621, 0.061169713735580444]","[0.5316756367683411, 0.6224250197410583, 0.06785666197538376]"
