Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.3447026014328003, 0.6706539988517761, 1.270951543119736e-06]","[0.3758029639720917, 0.574950098991394, 0.004397035110741854]","[0.46987849473953247, 0.517947793006897, -0.01941996067762375]","[0.5731828212738037, 0.5082128047943115, -0.046118080615997314]","[0.6373686194419861, 0.5081960558891296, -0.06795457750558853]","[0.468192994594574, 0.42198964953422546, -0.0638042688369751]","[0.6056740880012512, 0.3978004455566406, -0.10385438054800034]","[0.6847201585769653, 0.38555973768234253, -0.12291445583105087]","[0.748814582824707, 0.3697788715362549, -0.1345168650150299]","[0.47460657358169556, 0.4586879312992096, -0.09134242683649063]","[0.6357316970825195, 0.4361385405063629, -0.137329563498497]","[0.7326678037643433, 0.42551904916763306, -0.1549912393093109]","[0.8083255887031555, 0.40805742144584656, -0.16725173592567444]","[0.4765958786010742, 0.513584315776825, -0.11358974128961563]","[0.6253113746643066, 0.5649120807647705, -0.14661791920661926]","[0.5876889228820801, 0.6023131012916565, -0.12170299142599106]","[0.5440080761909485, 0.6024558544158936, -0.09953388571739197]","[0.47810906171798706, 0.5779358148574829, -0.13664183020591736]","[0.5843074917793274, 0.6275187730789185, -0.1504327654838562]","[0.5516985654830933, 0.6508830785751343, -0.12608158588409424]","[0.5124810934066772, 0.6381680965423584, -0.10544617474079132]"
R,"[0.6723066568374634, 0.6750531196594238, -2.5254823299292184e-07]","[0.6311866044998169, 0.5741260647773743, 0.01975267194211483]","[0.5265807509422302, 0.5049662590026855, 0.002039395272731781]","[0.41054588556289673, 0.4983771741390228, -0.022201169282197952]","[0.33681660890579224, 0.504862904548645, -0.054875560104846954]","[0.49992311000823975, 0.40522336959838867, -0.034210849553346634]","[0.34346967935562134, 0.37731391191482544, -0.049171384423971176]","[0.254282683134079, 0.3701983094215393, -0.054926082491874695]","[0.19156309962272644, 0.3576901853084564, -0.0617099329829216]","[0.5113224983215332, 0.4499112367630005, -0.06253897398710251]","[0.3270214796066284, 0.4332461953163147, -0.07327550649642944]","[0.23943138122558594, 0.42602330446243286, -0.07779023051261902]","[0.16877815127372742, 0.4112791121006012, -0.08653692156076431]","[0.5149393677711487, 0.5153657793998718, -0.08428258448839188]","[0.3472619652748108, 0.5601657629013062, -0.08680818974971771]","[0.38567036390304565, 0.6018441915512085, -0.07246358692646027]","[0.43648117780685425, 0.6013847589492798, -0.06817010790109634]","[0.5110901594161987, 0.5844925045967102, -0.10419830679893494]","[0.38953590393066406, 0.6227189898490906, -0.10696100443601608]","[0.4255668818950653, 0.6500873565673828, -0.08878341317176819]","[0.47410517930984497, 0.6436586976051331, -0.077036052942276]"
R,"[0.597378671169281, 0.6672991514205933, -6.134584396022547e-07]","[0.5879327654838562, 0.5262845754623413, 0.13212749361991882]","[0.5096095204353333, 0.46459272503852844, 0.20979511737823486]","[0.43560728430747986, 0.445989727973938, 0.27315211296081543]","[0.3680036664009094, 0.4478330910205841, 0.33158189058303833]","[0.4446439743041992, 0.3884582817554474, 0.13446871936321259]","[0.3218141198158264, 0.3706728518009186, 0.2247198075056076]","[0.2545866370201111, 0.3752671778202057, 0.29115718603134155]","[0.2044634073972702, 0.3725661039352417, 0.3337966501712799]","[0.3930276930332184, 0.4538843333721161, 0.10592827200889587]","[0.26114341616630554, 0.4380790591239929, 0.20890182256698608]","[0.1969587802886963, 0.4396525025367737, 0.26739946007728577]","[0.14746606349945068, 0.42718127369880676, 0.2978123724460602]","[0.3607921004295349, 0.5294912457466125, 0.09103391319513321]","[0.31419962644577026, 0.5414139628410339, 0.18730178475379944]","[0.37023815512657166, 0.5836163759231567, 0.2047223448753357]","[0.41542086005210876, 0.5938493013381958, 0.20012487471103668]","[0.3285002112388611, 0.6022903919219971, 0.08765406906604767]","[0.3299878239631653, 0.613922119140625, 0.15791237354278564]","[0.37764620780944824, 0.6407583951950073, 0.1727685034275055]","[0.4228249490261078, 0.6514288187026978, 0.1751011610031128]"
R,"[0.6281554102897644, 0.6762115955352783, -6.390336579897848e-07]","[0.5710675716400146, 0.5866925716400146, 0.03050106018781662]","[0.5079143643379211, 0.517656147480011, 0.01056398544460535]","[0.44212186336517334, 0.48705247044563293, -0.02134336344897747]","[0.39472514390945435, 0.47040465474128723, -0.06109556928277016]","[0.5102247595787048, 0.42621085047721863, -0.03534848615527153]","[0.4006792902946472, 0.3948710560798645, -0.060978811234235764]","[0.33583417534828186, 0.385537326335907, -0.07248217612504959]","[0.2824769914150238, 0.3676997721195221, -0.0816282108426094]","[0.5235255360603333, 0.46553558111190796, -0.0749623104929924]","[0.37191540002822876, 0.4476063549518585, -0.09205162525177002]","[0.2945908010005951, 0.4458182752132416, -0.09093770384788513]","[0.23923245072364807, 0.42077162861824036, -0.09644035995006561]","[0.5270174741744995, 0.5203897953033447, -0.10964003205299377]","[0.39076948165893555, 0.5489681959152222, -0.11351080983877182]","[0.41819560527801514, 0.5879791378974915, -0.09166848659515381]","[0.46411460638046265, 0.5896916389465332, -0.08584795147180557]","[0.5229911804199219, 0.573248565196991, -0.14331983029842377]","[0.4212241768836975, 0.6038455367088318, -0.14359703660011292]","[0.4436658024787903, 0.6287730932235718, -0.12248001247644424]","[0.4840269684791565, 0.6266883611679077, -0.11172441393136978]"
L,"[0.40984198451042175, 0.6196246147155762, 1.3097047713017673e-07]","[0.4225448668003082, 0.515525221824646, 0.08070620149374008]","[0.47311899065971375, 0.4716675579547882, 0.12413857132196426]","[0.5212762951850891, 0.4637901782989502, 0.1546764224767685]","[0.5607649683952332, 0.484083354473114, 0.18260382115840912]","[0.5201826095581055, 0.43076375126838684, 0.10159780085086823]","[0.6103591322898865, 0.42412200570106506, 0.15929146111011505]","[0.6484594345092773, 0.4272020757198334, 0.19835197925567627]","[0.6814789175987244, 0.42697447538375854, 0.22276276350021362]","[0.5608202815055847, 0.47449272871017456, 0.08209485560655594]","[0.6403465867042542, 0.4696176052093506, 0.15005120635032654]","[0.6842911243438721, 0.47136425971984863, 0.17804524302482605]","[0.7149346470832825, 0.47169557213783264, 0.1888291835784912]","[0.5840604901313782, 0.5259156823158264, 0.06878697872161865]","[0.5989752411842346, 0.5429767966270447, 0.13825099170207977]","[0.5596848726272583, 0.5615652203559875, 0.1427958905696869]","[0.529800295829773, 0.5739785432815552, 0.1320274919271469]","[0.6019431948661804, 0.5773759484291077, 0.06119955703616142]","[0.5913205146789551, 0.5932005643844604, 0.12180794030427933]","[0.5597862601280212, 0.6051082611083984, 0.1303774118423462]","[0.5334311723709106, 0.6128075122833252, 0.12641645967960358]"
L,"[0.35323596000671387, 0.6623319983482361, 9.897047448248486e-07]","[0.41796308755874634, 0.5469741821289062, 0.09339912235736847]","[0.5111339688301086, 0.5046353936195374, 0.08459559082984924]","[0.5929467082023621, 0.5003754496574402, 0.06382879614830017]","[0.6657007336616516, 0.5113229155540466, 0.04025593400001526]","[0.5212012529373169, 0.40675169229507446, -0.054321348667144775]","[0.6764242053031921, 0.3948124051094055, -0.04987887293100357]","[0.7549988031387329, 0.39003440737724304, -0.03871401771903038]","[0.8232465386390686, 0.3805672526359558, -0.033958129584789276]","[0.541307806968689, 0.4620790183544159, -0.10405305027961731]","[0.7090683579444885, 0.44271814823150635, -0.09125883132219315]","[0.8054299354553223, 0.4437662363052368, -0.077375628054142]","[0.8814499378204346, 0.43459048867225647, -0.08080074191093445]","[0.5552591681480408, 0.530519962310791, -0.13184331357479095]","[0.6622445583343506, 0.5760500431060791, -0.061600785702466965]","[0.5975664854049683, 0.608694314956665, -0.004060979932546616]","[0.5449994206428528, 0.6157431602478027, 0.008173507638275623]","[0.5712847709655762, 0.6020492315292358, -0.15512441098690033]","[0.6178448796272278, 0.6377924084663391, -0.07328690588474274]","[0.5669316649436951, 0.6523755788803101, -0.019286485388875008]","[0.52586430311203, 0.6479654312133789, 0.0007822369807399809]"
L,"[0.3793059289455414, 0.6182622909545898, 1.2104185316275107e-06]","[0.40387868881225586, 0.5232628583908081, 0.009568694978952408]","[0.4826689660549164, 0.47919777035713196, -0.009350175969302654]","[0.5731294751167297, 0.4837900996208191, -0.031075656414031982]","[0.6305177807807922, 0.5100274085998535, -0.04942084103822708]","[0.5041995644569397, 0.41389814019203186, -0.058599866926670074]","[0.6356183290481567, 0.40372681617736816, -0.09641831368207932]","[0.714293360710144, 0.4004264771938324, -0.11470036953687668]","[0.7760229706764221, 0.3933904767036438, -0.12558341026306152]","[0.5233035683631897, 0.45316681265830994, -0.0824894830584526]","[0.6739721298217773, 0.44390997290611267, -0.12740832567214966]","[0.768187940120697, 0.4407130181789398, -0.14731019735336304]","[0.8410854339599609, 0.4309481978416443, -0.15991465747356415]","[0.5311527252197266, 0.5077603459358215, -0.09927672892808914]","[0.640303373336792, 0.5604283213615417, -0.12683889269828796]","[0.5985718369483948, 0.5842804908752441, -0.10124313831329346]","[0.5573447346687317, 0.5803385376930237, -0.07785888016223907]","[0.5325632095336914, 0.5685861706733704, -0.11610493808984756]","[0.6020732522010803, 0.6171530485153198, -0.1256844699382782]","[0.5665245056152344, 0.6349503993988037, -0.10014823079109192]","[0.5337285995483398, 0.6226255893707275, -0.07735425978899002]"
L,"[0.4431336224079132, 0.6399883031845093, 3.832943917814191e-08]","[0.43963319063186646, 0.5182116627693176, 0.08720708638429642]","[0.4876922369003296, 0.45804503560066223, 0.1494944840669632]","[0.5374637246131897, 0.4481111764907837, 0.19748924672603607]","[0.5845155119895935, 0.4733946919441223, 0.24282152950763702]","[0.5536413788795471, 0.41564539074897766, 0.1632794886827469]","[0.6418208479881287, 0.4038164019584656, 0.2536534368991852]","[0.676087498664856, 0.408285915851593, 0.31483063101768494]","[0.6994298696517944, 0.40905508399009705, 0.35382556915283203]","[0.6020066738128662, 0.4682798385620117, 0.14830882847309113]","[0.6722264289855957, 0.454508513212204, 0.24794118106365204]","[0.7008723616600037, 0.45296961069107056, 0.29073652625083923]","[0.7122235894203186, 0.4522126019001007, 0.31217703223228455]","[0.6306111812591553, 0.5257581472396851, 0.13571710884571075]","[0.6444669365882874, 0.5342763662338257, 0.22054363787174225]","[0.6025501489639282, 0.5593724250793457, 0.2193688303232193]","[0.574840784072876, 0.5785398483276367, 0.2051878124475479]","[0.6546772718429565, 0.5817629098892212, 0.12963253259658813]","[0.6464419960975647, 0.589221179485321, 0.19678112864494324]","[0.6108539700508118, 0.6070106029510498, 0.1998695582151413]","[0.5833407044410706, 0.6182836294174194, 0.19156914949417114]"
L,"[0.40589678287506104, 0.545924961566925, 1.8292280401510652e-06]","[0.45044833421707153, 0.4843944311141968, -0.03958781063556671]","[0.5189756751060486, 0.46192747354507446, -0.10730510950088501]","[0.5849468111991882, 0.48791953921318054, -0.1660597324371338]","[0.6206872463226318, 0.5087792873382568, -0.22144515812397003]","[0.48894187808036804, 0.40939831733703613, -0.19348332285881042]","[0.5962117314338684, 0.39986637234687805, -0.2699493169784546]","[0.6623894572257996, 0.39439865946769714, -0.31797149777412415]","[0.718599796295166, 0.3895135521888733, -0.3534776568412781]","[0.4706542491912842, 0.46059656143188477, -0.20786452293395996]","[0.609835684299469, 0.4491030275821686, -0.3108843266963959]","[0.7010222673416138, 0.4340052902698517, -0.3625980019569397]","[0.7696583271026611, 0.42948973178863525, -0.4010383188724518]","[0.45980411767959595, 0.5217906832695007, -0.21077942848205566]","[0.6065812110900879, 0.5419716238975525, -0.262228786945343]","[0.5887228846549988, 0.5552725195884705, -0.22777844965457916]","[0.5504069924354553, 0.5578690767288208, -0.205547496676445]","[0.4651603102684021, 0.5753402709960938, -0.21855716407299042]","[0.5679914951324463, 0.5918638706207275, -0.24359118938446045]","[0.560274600982666, 0.5958787202835083, -0.21656623482704163]","[0.528181791305542, 0.5861999988555908, -0.1978749781847]"
L,"[0.353878378868103, 0.6350522637367249, 3.345718653235963e-07]","[0.3948146104812622, 0.4944017827510834, 0.04704193398356438]","[0.46838250756263733, 0.43768659234046936, 0.06065438687801361]","[0.5595771074295044, 0.4371548891067505, 0.0668000727891922]","[0.6128246784210205, 0.47167694568634033, 0.07263286411762238]","[0.5310541391372681, 0.3993185758590698, 0.009380802512168884]","[0.685014009475708, 0.3946758508682251, 0.024387432262301445]","[0.7597242593765259, 0.3949088454246521, 0.042492855340242386]","[0.8168678283691406, 0.3973991274833679, 0.057529594749212265]","[0.5815598964691162, 0.46407461166381836, -0.005531508941203356]","[0.7266039848327637, 0.4536820650100708, 0.01784418895840645]","[0.810222864151001, 0.45004016160964966, 0.03092765249311924]","[0.8620561361312866, 0.4461153745651245, 0.03796469792723656]","[0.611171543598175, 0.5406454801559448, -0.011623313650488853]","[0.6534053683280945, 0.5606727004051208, 0.030910296365618706]","[0.6179378628730774, 0.5766816735267639, 0.046667199581861496]","[0.5777289867401123, 0.5853351950645447, 0.0515286847949028]","[0.6252022385597229, 0.6143376231193542, -0.01516224630177021]","[0.6360755562782288, 0.6241496801376343, 0.035907234996557236]","[0.6035021543502808, 0.6349019408226013, 0.059754468500614166]","[0.5670697093009949, 0.6404842734336853, 0.07375675439834595]"
