Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.4635438621044159, 0.6627393960952759, -2.851939768788725e-07]","[0.5514612793922424, 0.6127926111221313, -0.023098090663552284]","[0.5923082232475281, 0.5164083242416382, -0.03143415227532387]","[0.5772919654846191, 0.4259096384048462, -0.042078517377376556]","[0.517428994178772, 0.39702335000038147, -0.04518597200512886]","[0.5694244503974915, 0.4725998044013977, 0.01727563701570034]","[0.5892410278320312, 0.4080073833465576, -0.01887042447924614]","[0.5815898180007935, 0.4703828692436218, -0.04073098301887512]","[0.57475346326828, 0.5024235248565674, -0.05093595013022423]","[0.5198920965194702, 0.4677142798900604, 0.009729031473398209]","[0.5365875363349915, 0.39375317096710205, -0.031550828367471695]","[0.537177562713623, 0.474806547164917, -0.04412933811545372]","[0.5347595810890198, 0.5013189315795898, -0.040983960032463074]","[0.46527332067489624, 0.47113630175590515, -0.005479521583765745]","[0.4811524748802185, 0.40666913986206055, -0.05632220581173897]","[0.4890947937965393, 0.4928489923477173, -0.04767673462629318]","[0.48401594161987305, 0.5226884484291077, -0.025672966614365578]","[0.4055894911289215, 0.4818062484264374, -0.02208700217306614]","[0.4360102117061615, 0.43503767251968384, -0.05139528587460518]","[0.4456280469894409, 0.49234509468078613, -0.03595777228474617]","[0.43637827038764954, 0.5198841094970703, -0.0158191230148077]"
R,"[0.5681182146072388, 0.7165727615356445, -9.055389682544046e-07]","[0.4634952247142792, 0.6301745772361755, -0.01078688632696867]","[0.4043813943862915, 0.5289815664291382, -0.003112445818260312]","[0.42425546050071716, 0.42663872241973877, -0.004142280202358961]","[0.4928547739982605, 0.3826375901699066, 0.006566247437149286]","[0.4370233714580536, 0.4686961770057678, 0.0966801866889]","[0.4047988951206207, 0.39399921894073486, 0.037665028125047684]","[0.4142075777053833, 0.4610713720321655, -0.005426621064543724]","[0.4344334602355957, 0.4996197819709778, -0.02060161717236042]","[0.49591371417045593, 0.4731658697128296, 0.08780961483716965]","[0.47891825437545776, 0.37468189001083374, 0.021627720445394516]","[0.4813482463359833, 0.47049665451049805, -0.01069218572229147]","[0.4945458471775055, 0.5062980651855469, -0.007497064769268036]","[0.557830274105072, 0.4808717668056488, 0.06452478468418121]","[0.5421238541603088, 0.394424170255661, -0.0049731009639799595]","[0.5289315581321716, 0.4993404746055603, -0.006621090229600668]","[0.5393127799034119, 0.5415353775024414, 0.02051866054534912]","[0.6237466335296631, 0.4948544502258301, 0.039940256625413895]","[0.5964456796646118, 0.4456903040409088, 0.006145944353193045]","[0.5789303183555603, 0.5123051404953003, 0.014896617271006107]","[0.5902396440505981, 0.5442453026771545, 0.0379197858273983]"
L,"[0.47419631481170654, 0.6694476008415222, 2.1760781976354338e-07]","[0.5720154643058777, 0.6264117956161499, -0.018391575664281845]","[0.60918128490448, 0.5255515575408936, -0.022900978103280067]","[0.5940137505531311, 0.43266761302948, -0.03136751428246498]","[0.5464469790458679, 0.3886793553829193, -0.03528977558016777]","[0.5915507078170776, 0.4804500639438629, 0.0328514501452446]","[0.5797834992408752, 0.406344473361969, 0.009942692704498768]","[0.5825066566467285, 0.43565937876701355, -0.009688740596175194]","[0.5881328582763672, 0.460781067609787, -0.021918348968029022]","[0.5404831767082214, 0.4729900062084198, 0.02504875510931015]","[0.5267374515533447, 0.3905225992202759, -0.005038081202656031]","[0.5410863161087036, 0.44797390699386597, -0.023477617651224136]","[0.5492419004440308, 0.4846152067184448, -0.02894795872271061]","[0.4868829846382141, 0.47708210349082947, 0.009934076108038425]","[0.48361456394195557, 0.4044942855834961, -0.030994657427072525]","[0.5024384260177612, 0.471671998500824, -0.03707537427544594]","[0.5077124238014221, 0.5088611841201782, -0.029333975166082382]","[0.4283369481563568, 0.49044549465179443, -0.006546529475599527]","[0.4482720196247101, 0.4419725239276886, -0.03678413853049278]","[0.4626482129096985, 0.4890313148498535, -0.0360427089035511]","[0.4616128206253052, 0.5225381255149841, -0.02837548218667507]"
L,"[0.44796741008758545, 0.7020300626754761, 5.441902573011248e-08]","[0.5322745442390442, 0.6429233551025391, -0.04884594678878784]","[0.5768712162971497, 0.5385801792144775, -0.05841527506709099]","[0.5569348931312561, 0.4464118182659149, -0.066573865711689]","[0.49367472529411316, 0.41346633434295654, -0.061056628823280334]","[0.5957156419754028, 0.4851560890674591, 0.044646117836236954]","[0.5896041393280029, 0.4188860356807709, -0.001979663036763668]","[0.5632790923118591, 0.47591492533683777, -0.035232897847890854]","[0.5580254793167114, 0.4964986741542816, -0.04928816854953766]","[0.5318364500999451, 0.47776368260383606, 0.04873693734407425]","[0.5215269923210144, 0.40580254793167114, -0.00624213507398963]","[0.5107378363609314, 0.4822703003883362, -0.03270161151885986]","[0.5209896564483643, 0.496088445186615, -0.03223982825875282]","[0.4686741828918457, 0.4835352301597595, 0.03782344609498978]","[0.46077725291252136, 0.4182263910770416, -0.022243160754442215]","[0.46372079849243164, 0.5015978813171387, -0.027836766093969345]","[0.4793103337287903, 0.5164919495582581, -0.010078057646751404]","[0.4081466794013977, 0.49509909749031067, 0.021982917562127113]","[0.4168987274169922, 0.45747900009155273, -0.006388647016137838]","[0.42049098014831543, 0.5100782513618469, 0.0012742328690364957]","[0.429857075214386, 0.5262591242790222, 0.017876747995615005]"
R,"[0.5514129400253296, 0.72368323802948, -9.397234066454985e-07]","[0.4549218416213989, 0.657009482383728, -0.045052364468574524]","[0.3989439308643341, 0.5376967191696167, -0.05884348228573799]","[0.42867669463157654, 0.4230758845806122, -0.07230803370475769]","[0.5031308531761169, 0.37340933084487915, -0.07375730574131012]","[0.41466349363327026, 0.47399118542671204, 0.01625414378941059]","[0.39462414383888245, 0.3878757357597351, -0.04459939897060394]","[0.3952752351760864, 0.46319881081581116, -0.07356809824705124]","[0.4053868353366852, 0.5141378045082092, -0.07979214936494827]","[0.4778760075569153, 0.46939897537231445, 0.021484555676579475]","[0.47840869426727295, 0.37244510650634766, -0.04008357599377632]","[0.4704093337059021, 0.46936944127082825, -0.05052773654460907]","[0.47239091992378235, 0.5069805383682251, -0.03784547373652458]","[0.5415101051330566, 0.47757789492607117, 0.013140475377440453]","[0.5483630895614624, 0.39393505454063416, -0.05658609792590141]","[0.5268813967704773, 0.4959338903427124, -0.042092375457286835]","[0.5231149196624756, 0.5366078019142151, -0.009052370674908161]","[0.6038920879364014, 0.4993886947631836, 0.0009608370019122958]","[0.5979968309402466, 0.43811824917793274, -0.0384390652179718]","[0.5761079788208008, 0.506909966468811, -0.025297511368989944]","[0.5730081796646118, 0.5423315167427063, -0.002115115523338318]"
R,"[0.5446503758430481, 0.7079653739929199, -8.281707550850115e-07]","[0.4363175928592682, 0.6318578124046326, -0.022305060178041458]","[0.3710553050041199, 0.5183731913566589, -0.021628592163324356]","[0.3974362015724182, 0.41387122869491577, -0.026065891608595848]","[0.4715636074542999, 0.3726716637611389, -0.018882792443037033]","[0.42011234164237976, 0.4601602256298065, 0.06852426379919052]","[0.37802791595458984, 0.3881255090236664, 0.009982418268918991]","[0.3771233558654785, 0.46096017956733704, -0.02890566922724247]","[0.3993251621723175, 0.4943506121635437, -0.044896867126226425]","[0.4799811542034149, 0.46307292580604553, 0.06447669118642807]","[0.45414990186691284, 0.37762555480003357, -0.005289275664836168]","[0.44684311747550964, 0.47847890853881836, -0.030091697350144386]","[0.4670622944831848, 0.506822407245636, -0.02318584732711315]","[0.5373615622520447, 0.4726279675960541, 0.045980602502822876]","[0.5157010555267334, 0.3807637691497803, -0.023657575249671936]","[0.496748149394989, 0.48827266693115234, -0.014594395644962788]","[0.518388032913208, 0.526443362236023, 0.017006628215312958]","[0.6050705909729004, 0.49084794521331787, 0.024726320058107376]","[0.5715222358703613, 0.4337828457355499, -0.014679373241961002]","[0.551476001739502, 0.5056343674659729, -0.0052914805710315704]","[0.5710235238075256, 0.5343831777572632, 0.017283780500292778]"
L,"[0.4282447099685669, 0.696145236492157, -6.205498781497454e-09]","[0.5033230781555176, 0.6297245621681213, -0.08506286144256592]","[0.5500306487083435, 0.5275280475616455, -0.0954815149307251]","[0.5329180359840393, 0.43887996673583984, -0.09377950429916382]","[0.491259902715683, 0.3996697962284088, -0.07745768129825592]","[0.6164687871932983, 0.49870187044143677, 0.03195057436823845]","[0.5755155086517334, 0.4049031734466553, -0.01933189108967781]","[0.5323020815849304, 0.4493120610713959, -0.06070709973573685]","[0.5247586965560913, 0.4826171100139618, -0.07599405944347382]","[0.5474485158920288, 0.48826864361763, 0.0634007602930069]","[0.5153023600578308, 0.3997374176979065, 0.008219791576266289]","[0.4840438961982727, 0.46554818749427795, -0.030005166307091713]","[0.49049487709999084, 0.5002138018608093, -0.03491099178791046]","[0.48172006011009216, 0.4850797653198242, 0.0763252004981041]","[0.45403844118118286, 0.4160788059234619, 0.018565978854894638]","[0.43743330240249634, 0.4801115393638611, -0.007375755347311497]","[0.45709824562072754, 0.5105512142181396, -0.0002927960886154324]","[0.4217436611652374, 0.4897937774658203, 0.08144015818834305]","[0.4131881594657898, 0.44596895575523376, 0.05184168368577957]","[0.4052931070327759, 0.48855412006378174, 0.04461026191711426]","[0.41647785902023315, 0.518673837184906, 0.05406854674220085]"
L,"[0.4691239297389984, 0.6928578615188599, 1.6826147941628733e-07]","[0.5759854316711426, 0.6257771849632263, -0.024508168920874596]","[0.6214220523834229, 0.5150096416473389, -0.03244361653923988]","[0.608934223651886, 0.4115091860294342, -0.0461987629532814]","[0.5333045125007629, 0.38553476333618164, -0.05149250477552414]","[0.5821047425270081, 0.4643977880477905, 0.07325861603021622]","[0.605498731136322, 0.40461692214012146, 0.036135006695985794]","[0.5988243222236633, 0.4609335660934448, 0.0016926631797105074]","[0.58195561170578, 0.4897105097770691, -0.013735870830714703]","[0.5221788883209229, 0.4629386067390442, 0.06699149310588837]","[0.5427982807159424, 0.38434159755706787, 0.022415967658162117]","[0.5510165095329285, 0.4577251076698303, -0.012576636858284473]","[0.5422540307044983, 0.4860386550426483, -0.019393740221858025]","[0.4634191691875458, 0.4687047004699707, 0.049539342522621155]","[0.48069703578948975, 0.3924594223499298, 0.0001389720564475283]","[0.5030521154403687, 0.4803304076194763, -0.012371818535029888]","[0.49863097071647644, 0.5176995992660522, -0.00096629757899791]","[0.40157026052474976, 0.47857865691185, 0.029943590983748436]","[0.4355214238166809, 0.4299258589744568, 0.0039504533633589745]","[0.45513272285461426, 0.49290281534194946, 0.009136172942817211]","[0.45362651348114014, 0.5345456600189209, 0.024141782894730568]"
L,"[0.45789891481399536, 0.6973878145217896, 4.3357599111004674e-07]","[0.5604853630065918, 0.6189286708831787, -0.023719685152173042]","[0.5907781720161438, 0.5133205652236938, -0.019391218200325966]","[0.5612852573394775, 0.4289933741092682, -0.022687239572405815]","[0.505641520023346, 0.3986935317516327, -0.016716735437512398]","[0.6222608685493469, 0.49639901518821716, 0.12665796279907227]","[0.5989680290222168, 0.4428248405456543, 0.09318488091230392]","[0.5768272280693054, 0.45827847719192505, 0.05453849956393242]","[0.5620900988578796, 0.4683818519115448, 0.03859787806868553]","[0.5578873157501221, 0.48881006240844727, 0.12171781063079834]","[0.5449759364128113, 0.41501837968826294, 0.07655350118875504]","[0.5254536867141724, 0.46009984612464905, 0.031027119606733322]","[0.5203819274902344, 0.4882393777370453, 0.022164177149534225]","[0.495688259601593, 0.4884553551673889, 0.10050258785486221]","[0.4746799170970917, 0.4170362055301666, 0.048168718814849854]","[0.4675997793674469, 0.47633418440818787, 0.015280760824680328]","[0.47322022914886475, 0.5086691975593567, 0.01864849403500557]","[0.429505318403244, 0.49148276448249817, 0.07615888863801956]","[0.4295262098312378, 0.45209062099456787, 0.04955528303980827]","[0.4275817275047302, 0.4938613176345825, 0.03976515308022499]","[0.4334776699542999, 0.5277533531188965, 0.046702515333890915]"
L,"[0.4437931478023529, 0.7295581102371216, 1.7592067536043032e-07]","[0.5633605122566223, 0.6501513719558716, -0.046108394861221313]","[0.6116307973861694, 0.5396435260772705, -0.05605262517929077]","[0.5959679484367371, 0.4319484531879425, -0.06919959932565689]","[0.5126382112503052, 0.4151923656463623, -0.06929434835910797]","[0.5864454507827759, 0.479092538356781, 0.07752452045679092]","[0.5980358123779297, 0.4053894877433777, 0.034270986914634705]","[0.5784699320793152, 0.4693114161491394, -0.002888559130951762]","[0.5659414529800415, 0.5026429891586304, -0.018146494403481483]","[0.5205113291740417, 0.48033684492111206, 0.07746396213769913]","[0.5291186571121216, 0.3954963982105255, 0.02230818383395672]","[0.5275691747665405, 0.48211854696273804, -0.015236945822834969]","[0.5281745195388794, 0.5126362442970276, -0.02009763941168785]","[0.4578331708908081, 0.48708948493003845, 0.06090817227959633]","[0.46056199073791504, 0.4162617325782776, -0.0002672180125955492]","[0.4757780432701111, 0.5062763094902039, -0.019099406898021698]","[0.48182034492492676, 0.5352258682250977, -0.0070210788398981094]","[0.39540237188339233, 0.4985138475894928, 0.03962268307805061]","[0.4193529784679413, 0.4547980725765228, 0.013884132727980614]","[0.43039506673812866, 0.5111697316169739, 0.018120672553777695]","[0.42755693197250366, 0.540851354598999, 0.03334972634911537]"
